particle_id,vx,vy,vz,px,py,pz,q,nhits
364832389186191360,0.014919100000000001,-0.002212,-11.5247,-0.617577,0.385764,2.1755400000000003,-1,10
824163129872093185,-9.091439999999999,16.6837,-418.897,0.0347439,0.141179,0.16170199999999998,1,1
63059259595685888,0.0227292,0.00567583,-0.535732,0.26995,-0.0432014,-2.27177,-1,11
801640802391425024,-0.010397499999999999,-0.00496379,1.15111,0.030832299999999997,0.374657,0.034014499999999996,-1,10
27033142636314624,-48.5242,3.1227,97.2742,-0.113746,0.0360221,0.306345,1,1
707074556065480704,-0.0373195,-0.031613999999999996,-3.26563,0.0726885,-0.49521000000000004,0.686559,-1,1
4504767858475008,-0.00928816,0.00986098,-0.0778789,-0.230791,0.827567,-5.75481,-1,12
229689284712464384,0.0104971,-0.010107,-1.48604,0.539554,0.0510661,1.56734,1,7
418843698877431808,0.0183655,-0.0168648,4.19268,0.39626,-0.0332726,2.77202,-1,11
364807444016136192,0.014919100000000001,-0.002212,-11.5247,-0.187829,-1.16236,-11.3808,-1,12
225180874721722368,-0.017552,-0.0146892,-5.44466,1.62331,0.38371500000000003,2.42145,1,9
657535303761788928,-0.00138821,-0.00693833,-3.4744,-0.5121829999999999,-0.224977,1.18327,1,16
112590815334772738,35.4149,-11.5492,570.569,0.047337,0.241431,-0.061149699999999994,1,7
734091480905285632,-0.00916967,-0.00476335,-2.6461099999999997,-0.291169,-0.127029,-0.606829,1,16
49540901571133440,0.00127426,0.025666200000000004,2.7231400000000003,0.16638599999999998,0.08291230000000001,0.619931,-1,9
689051430199238658,494.49800000000005,18.8557,-853.065,0.138653,0.112632,-0.112576,1,4
662031412966195200,-0.000737204,-0.00617908,-10.0669,-0.08481960000000001,-0.694476,-0.287008,1,14
328763391273336832,-0.020718599999999997,0.024144299999999997,2.93058,-0.975203,-0.37656,-4.66707,1,6
837671867169902593,100.49,-56.5269,-229.16400000000002,0.19023299999999999,0.0995798,0.22203499999999998,-1,9
364814590858498049,-43.9933,-46.5705,-570.569,0.41228400000000004,-0.208461,-0.12721400000000002,1,9
211671450245931010,0.328412,18.9973,-29.863000000000003,0.0564914,0.199456,-0.11929300000000001,1,10
968278524089597952,-0.00417844,0.00475084,-5.12884,0.17416800000000002,-0.0179652,0.36551999999999996,1,10
409831757978796032,0.0277254,0.00995137,-5.2266699999999995,0.37669899999999995,-1.33766,3.9939699999999996,-1,12
747605921919664128,-0.018072900000000003,0.015694899999999998,0.35496,0.362148,0.07681519999999999,-1.05182,-1,10
711574307402153984,0.00357131,-0.0123055,-2.6419799999999998,0.330198,0.43063199999999996,-3.6388800000000003,-1,11
707073731431759872,-0.0373195,-0.031613999999999996,-3.26563,-0.197819,-0.287812,-0.158278,-1,10
292744352420069376,0.00917456,0.008978700000000001,11.2888,0.358127,0.32693,-0.24630300000000002,-1,13
