hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
16888,864696076274245634,29.6966,11.8224,-435.095,-0.200429,0.152667,0.13147899999999998,0.0
16901,171140359252869120,-31.5293,8.081719999999999,-484.905,-0.247013,-0.047788300000000006,-2.269,0.0
16914,873704375040618498,14.7142,-29.0119,-391.914,-0.000650511,-0.159423,-0.0551117,0.0
16921,418836345910202369,31.2311,-4.57715,-398.62,0.292206,-0.14669300000000002,-0.24601900000000002,0.0
16967,225182798867070976,-19.5127,-26.046,-299.914,-0.45118199999999997,-0.5848,-6.68526,0.0
16970,499901688941903872,-24.4749,-23.6548,-294.301,-0.241708,-0.248279,-2.9369,0.0
16978,842175672955703297,-14.0467,-31.1929,-314.961,-0.0409625,-0.29676199999999997,-0.306772,0.0
17036,103588632585043968,28.9102,14.0716,-295.186,0.461609,0.233998,-4.72251,0.0
17068,662034436623171584,20.6494,25.4983,-324.865,0.186473,0.24597600000000003,-2.9567,0.0
17092,761108680622997504,6.73572,31.6053,-321.3,0.0913089,0.476304,-4.58206,0.0
17096,684570233104498688,-5.24296,31.997,-341.82099999999997,-0.0321279,0.154134,-1.4724899999999999,0.0
17109,391815504043442176,-16.5776,28.0114,-283.711,-0.274135,0.44350900000000004,-4.39816,0.0
17219,166645349560090624,-15.963,-27.2069,-223.101,-0.0725185,-0.13914300000000002,-1.1041100000000001,0.0
17255,27031836966256640,-8.59903,-31.0043,-250.703,-0.357979,-1.2555399999999999,-10.1156,0.0
17258,873727808365395968,1.02404,-31.5471,-211.167,0.00539203,-1.02874,-7.18253,0.0
17304,337777531195228160,19.1974,-25.0075,-231.618,0.354103,-0.444457,-4.33976,0.0
17333,923241565743218688,31.2051,-5.03881,-245.31400000000002,1.01004,-0.153023,-7.724989999999999,0.0
17384,135109569369079808,28.4092,14.0043,-237.976,0.70712,0.33883800000000003,-6.13005,0.0
17428,382807892471840768,24.8587,22.9203,-213.578,0.198275,0.168009,-1.72363,0.0
17442,734118075342782464,-1.7155900000000002,31.5861,-229.78799999999998,-0.133445,0.57549,-3.89261,0.0
17446,648526455239606272,10.0765,30.9209,-222.419,0.0900403,0.30885100000000004,-2.1042799999999997,0.0
17448,743110362471071744,3.4938,31.2923,-235.39,0.155926,1.1453,-8.30901,0.0
17524,103591518803066880,-22.2105,22.3161,-252.71099999999998,-0.328869,0.31608600000000003,-3.6366300000000003,0.0
17534,878207012578525184,-26.2799,17.8869,-264.998,-0.269652,0.194985,-2.79547,0.0
17555,734096772304994304,-25.0597,20.419,-229.755,-0.236825,0.18091300000000002,-2.09523,0.0
17587,558446972269232128,-33.5263,-0.86887,-160.881,-0.342643,0.00219268,-1.7607599999999999,0.0
17589,873728220682256384,-31.6232,-6.312180000000001,-177.31400000000002,-0.387703,-0.0620233,-2.3031599999999997,0.0
17594,734105362239586304,-33.1567,-1.9259400000000002,-181.12599999999998,-0.347043,-0.00961762,-1.8630099999999998,0.0
17600,873705818132840448,-30.9179,-8.32923,-163.585,-0.17188299999999998,-0.036407499999999995,-0.903308,0.0
17605,923244383241764864,-32.1005,-4.94687,-172.887,-0.5329510000000001,-0.07292860000000001,-2.7513799999999997,0.0
17606,797155069828005888,-31.9757,-5.3038300000000005,-205.456,-0.27116599999999996,-0.0363245,-1.7216200000000002,0.0
17660,963772656719495168,-26.7982,-17.9358,-152.874,-0.227413,-0.162888,-1.34293,0.0
17679,851186445606453248,-21.0134,-25.3228,-206.99599999999998,-0.435113,-0.50842,-4.40336,0.0
17711,220710604040568832,-11.6124,-31.3302,-139.47299999999998,-0.09486939999999999,-0.47198100000000004,-1.43831,0.0
17817,369295375619592193,18.3887,-26.3937,-147.361,0.0873909,-0.0965283,-0.0794772,0.0
17825,743111530702176256,26.3339,-18.9153,-192.37900000000002,0.5238649999999999,-0.38974699999999995,-3.83791,0.0
17836,306246492648112128,27.7164,-16.0464,-150.014,1.43605,-0.842341,-8.27175,0.0
17839,851186789203836928,26.5573,-18.4517,-144.933,0.20314300000000002,-0.129715,-1.15145,0.0
17868,797144624467542016,31.6791,-5.42738,-183.89700000000002,0.19485,-0.0233712,-1.11571,0.0
17883,103597909714403328,31.8408,-2.5613200000000003,-153.748,0.295683,-0.0455134,-1.38181,0.0
17892,211685950038736896,29.6654,11.9115,-166.08900000000003,0.272702,0.09860139999999999,-1.53109,0.0
18051,544936173387120640,-2.2088200000000002,33.0578,-184.666,-0.00635042,0.256762,-1.39821,0.0
18059,562955176101543936,-16.4193,28.1528,-180.43200000000002,-0.110036,0.170754,-1.1412799999999999,0.0
18068,409833475965714432,-21.8913,23.2652,-173.334,-0.4384,0.479074,-3.41434,0.0
18115,684552159882117120,-27.8058,15.8608,-186.109,-0.371714,0.22254699999999997,-2.50679,0.0
18116,40533702316392448,-26.1873,19.2195,-176.546,-1.24797,0.9298780000000001,-8.29447,0.0
18205,923241290865311744,-31.5434,-5.040080000000001,-120.83200000000001,-0.14793399999999998,-0.033056199999999994,-0.539963,0.0
18258,4523184678240256,-26.0511,-18.0291,-80.3129,-5.04108,-3.4800699999999996,-15.5163,0.012465474538968251
18275,801644513243168768,-22.1497,-22.3969,-118.223,-0.513766,-0.5343439999999999,-2.8106,0.0
18277,261208984545918976,-27.8128,-16.0567,-97.4168,-0.824233,-0.463441,-2.7195099999999996,0.0
18282,225205476294393856,-23.6356,-20.7334,-82.4882,-0.19237200000000002,-0.22643200000000002,-0.684516,0.0
18296,103588976182427648,-27.2792,-16.6541,-132.743,-0.4509,-0.26412199999999997,-2.13786,0.0
18309,166645418279567360,-23.6437,-20.7243,-113.859,-0.7225520000000001,-0.620069,-3.3862300000000003,0.0
18324,671056341845934080,-19.919,-25.3006,-124.475,-0.140249,-0.161986,-0.8097770000000001,0.0
18353,27029637943001088,-21.2474,-24.6605,-100.24,-0.157646,-0.16739600000000002,-0.695188,0.0
18371,779125827911548928,-15.04,-27.6517,-81.2783,-0.49639700000000003,-0.931667,-2.62177,0.005125768258828507
18398,4527720163704832,-2.46734,-31.3502,-105.62,-0.0310832,-0.273447,-0.923301,0.0
18406,954764770269986816,-5.48003,-31.1802,-110.475,-0.145145,-0.768918,-2.44162,0.0
18414,220676862777491456,-7.09426,-31.0892,-87.7654,-0.125824,-0.598955,-1.60792,0.0
18441,49544681142353920,9.2166,-30.0832,-104.031,0.104306,-0.37359899999999996,-1.31334,0.0
18452,139626981611274240,11.8037,-29.1786,-79.2384,0.256947,-0.531552,-1.4683,0.0
18472,9008161327415296,7.29484,-30.7551,-84.8652,0.04425080000000001,-0.146542,-0.391363,0.0
18474,801644444523692032,9.7336,-29.9024,-122.316,0.160591,-0.52354,-2.15007,0.0
18520,711585646115815424,22.123,-22.3943,-92.0835,0.329558,-0.378736,-1.20746,0.0
18587,99082490337034240,28.9758,-12.2923,-87.2633,0.186861,-0.0895942,-0.601967,0.0
18597,707065691252981760,27.6625,-15.0176,-106.774,0.252249,-0.14720899999999998,-0.959061,0.0
18624,878216289707884544,25.0442,-20.4511,-69.4081,0.327303,-0.254879,-0.9078379999999999,0.0
18626,9009535716950016,27.0779,-16.2308,-114.404,0.49741499999999994,-0.28739000000000003,-2.01553,0.0
18711,517915056659234816,29.7859,10.0667,-101.587,3.2595,1.08972,-10.3841,0.0
18737,761110123732008960,29.891,9.76628,-124.529,0.194251,0.0735346,-0.7212430000000001,0.0
18807,225180668563292160,26.248,17.8086,-72.086,0.305686,0.218998,-0.786928,0.0
18870,639515820011028480,19.3461,25.5767,-79.0783,0.287864,0.36409,-1.21156,0.0
18909,914239039412895744,6.8491100000000005,31.103,-71.4475,0.0749465,0.297442,-0.5785710000000001,0.0
18939,526921568719208448,7.7367300000000006,31.0529,-135.834,0.404973,1.66357,-7.24083,0.0
18959,837671111238877184,-12.8475,28.8137,-115.87,-0.13986400000000002,0.29027800000000004,-1.06541,0.0
18965,364819882241425408,-12.42,28.9631,-111.30799999999999,-0.0955436,0.30262,-0.692254,0.0
19045,558454737570103296,-15.3974,28.4017,-110.73,-0.17872000000000002,0.30898600000000004,-1.34091,0.0
19082,9008642363752448,-25.7538,18.9786,-94.6924,-0.597757,0.428658,-2.09452,0.0
19195,229688116481359872,-29.1141,-13.4883,-27.5777,-1.187,-0.5606140000000001,-1.06712,0.005735600891102147
19220,391818527700418560,-29.573,-12.1759,-6.98217,-0.629174,-0.269402,0.048521100000000005,0.0
19230,639524684823527424,-29.2676,-13.0494,-3.46601,-0.9650700000000001,-0.440302,-0.27217199999999997,0.00514788322252062
19249,63057335450337280,-31.4627,-6.770969999999999,-39.5358,-0.319892,-0.0793715,-0.398565,0.0
19299,738592400473063424,-31.5654,-6.4773,-26.3942,-0.590499,-0.12978699999999999,-0.307253,0.0
19301,968297628104130560,-33.441,-1.1129200000000001,-16.52,-0.191109,-0.0168582,-0.0647221,0.0
19308,54045600710131712,-34.1098,0.799874,-13.9267,-0.631895,0.00409763,-0.28364,0.0
19310,707067477959376896,-31.6977,-6.098990000000001,-32.9627,-0.966685,-0.17535599999999998,-0.9046700000000001,0.0
19375,454865830107152384,-23.4309,-21.7058,-4.26872,-0.74746,-0.680481,-0.120707,0.004224458403738638
19403,220703800812371968,-24.59,-20.4081,-33.1781,-0.48068,-0.344235,-0.359277,0.0
19520,301747565945159680,-15.1519,-28.1474,-63.4841,-0.745632,-1.40562,-2.68133,0.008127219136538794
19652,184650196062306304,-2.77488,-31.8287,-8.878969999999999,-0.014912799999999999,-0.270955,0.01214,0.0
19690,418845554303303680,-1.19028,-31.9181,-32.4465,-0.026494099999999996,-0.441184,-0.506866,0.0
19799,40532877682671616,12.4906,-29.463,-39.332,0.27269299999999996,-0.617345,-0.75975,0.0
19800,860189246814683136,7.045139999999999,-31.3669,-16.2409,0.051322900000000005,-0.185675,-0.09557130000000001,0.0
19802,621498054247186432,13.4715,-29.12,-48.6241,0.166365,-0.382356,-0.534961,0.0
19805,40533908474822656,9.32785,-30.5688,-59.3034,0.0500483,-0.196913,-0.35685100000000003,0.0
19819,225185410207186944,12.7172,-29.3837,-37.8247,0.33121,-0.7894760000000001,-0.8658129999999999,0.0
19868,225184379415035904,19.9145,-25.0309,-12.1917,0.5958979999999999,-0.762734,-0.204342,0.0
19873,4506004809056256,21.0028,-24.0588,-59.9949,0.184568,-0.196178,-0.506005,0.0
19937,63051150697431040,22.1373,-23.0454,-21.6945,0.182685,-0.205296,-0.183079,0.0
19968,153149668962861056,19.0724,-25.783,-8.63602,0.209706,-0.18045799999999998,0.0284156,0.0
19980,49540008217935872,22.9178,-22.3482,-44.6547,0.695063,-0.6654720000000001,-1.4249399999999999,0.0
19987,662035948451659776,29.8545,-11.6093,-59.6846,0.515252,-0.20989499999999997,-0.8620959999999999,0.0
20071,797144487028588544,30.3108,-10.6624,-58.6323,0.88831,-0.322389,-1.6731599999999998,0.0
20074,968297421945700352,27.5077,-16.4794,-6.34349,0.185418,-0.123805,-0.00779836,0.0
