inner,outer
17013.0,17013
17138.0,73368
17138.0,73372
17190.0,78348
17190.0,79208
17190.0,79217
17190.0,79225
17190.0,79497
17190.0,85600
17190.0,85601
17190.0,85602
17190.0,112913
17190.0,113596
17190.0,113317
17224.0,78762
17224.0,78769
17224.0,79517
17224.0,85171
17224.0,85172
17224.0,85624
17224.0,17231
17224.0,85404
17224.0,79520
17224.0,85399
17224.0,113336
17224.0,79530
17224.0,113860
17224.0,112930
17224.0,113857
17281.0,79589
17281.0,113879
17281.0,114135
17281.0,85668
17281.0,113638
17281.0,113167
17281.0,112958
17281.0,113178
17281.0,113173
17281.0,114134
17281.0,78583
17281.0,85439
17312.0,85233
17390.0,25902
17390.0,73657
17390.0,78865
17390.0,79118
17390.0,79119
17390.0,79382
17390.0,113455
17390.0,113727
17390.0,79672
17390.0,113449
17390.0,79667
17390.0,113444
17426.0,25902
17426.0,78865
17426.0,79118
17426.0,79119
17426.0,79382
17426.0,113455
17426.0,113727
17426.0,79672
17426.0,113449
17426.0,79667
17426.0,113444
17586.0,26307
17586.0,26322
17586.0,26615
17586.0,27091
17586.0,27651
17586.0,27664
17586.0,33504
17586.0,33812
17586.0,33824
17586.0,34178
17586.0,34619
17586.0,34625
17586.0,34637
17586.0,35155
17586.0,79208
17586.0,79217
17586.0,79497
17586.0,79814
17586.0,79823
17586.0,80157
17586.0,80529
17586.0,80541
17586.0,80552
17586.0,85594
17586.0,85600
17586.0,85601
17586.0,85602
17586.0,86056
17586.0,86983
17586.0,86992
17586.0,113302
17586.0,114545
17586.0,114294
17586.0,33511
17586.0,86628
17586.0,114065
17586.0,114790
17592.0,25766
17592.0,25996
17592.0,79814
17592.0,80134
17592.0,85594
17592.0,86049
17592.0,86056
17592.0,113822
17592.0,114043
17592.0,114046
17592.0,114525
17592.0,113302
17592.0,114294
17592.0,113820
17592.0,114065
17613.0,17613
17613.0,25766
17613.0,25996
17613.0,26294
17613.0,26307
17613.0,26598
17613.0,26604
17613.0,26615
17613.0,33250
17613.0,33253
17613.0,33504
17613.0,33812
17613.0,34178
17613.0,34619
17613.0,34625
17613.0,34637
17613.0,73872
17613.0,79208
17613.0,79814
17613.0,79823
17613.0,80134
17613.0,80519
17613.0,80529
17613.0,85594
17613.0,86056
17613.0,86326
17613.0,113822
17613.0,87685
17613.0,113302
17613.0,114294
17613.0,33511
17613.0,34615
17613.0,86628
17613.0,80133
17613.0,114065
17613.0,114790
17617.0,26307
17617.0,26322
17617.0,26615
17617.0,27091
17617.0,33812
17617.0,33824
17617.0,34637
17617.0,34654
17617.0,79208
17617.0,79217
17617.0,79225
17617.0,79497
17617.0,79823
17617.0,80157
17617.0,80541
17617.0,80552
17617.0,85600
17617.0,85601
17617.0,85602
17617.0,86076
17617.0,86639
17617.0,86983
17617.0,86992
17617.0,113596
17617.0,113317
17617.0,114312
17617.0,114545
17617.0,26631
17617.0,33511
17617.0,86628
17633.0,78360
17633.0,78537
17633.0,78762
17633.0,78980
17633.0,79507
17633.0,79517
17633.0,79853
17633.0,85171
17633.0,85172
17633.0,85826
17633.0,86088
17633.0,114096
17633.0,79520
17633.0,113601
17633.0,85618
17767.0,26074
17767.0,26374
17767.0,26396
17767.0,26745
17767.0,33335
17767.0,33578
17767.0,33585
17767.0,33898
17767.0,33906
17767.0,33910
17767.0,33919
17767.0,79573
17767.0,79589
17767.0,86134
17767.0,86412
17767.0,113875
17767.0,114135
17767.0,33907
17767.0,85668
17767.0,113638
17767.0,114593
17767.0,113167
17767.0,113173
17767.0,114134
17767.0,26077
17784.0,17784
17784.0,25851
17784.0,26103
17784.0,26741
17784.0,79604
17784.0,85889
17784.0,86153
17784.0,113879
17784.0,112978
17784.0,79599
17784.0,113178
17784.0,78583
17784.0,85439
17784.0,85219
17784.0,86155
17784.0,113374
17784.0,113382
17793.0,25851
17793.0,26103
17793.0,78409
17793.0,79604
17793.0,79607
17793.0,86153
17793.0,112978
17793.0,85899
17793.0,79599
17793.0,113394
17793.0,113392
17793.0,85219
17793.0,86155
17793.0,113374
17793.0,113382
17987.0,17987
17987.0,26503
17987.0,26506
17987.0,26507
17987.0,26906
17987.0,27450
17987.0,33718
17987.0,34492
17987.0,34497
17987.0,34960
17987.0,34965
17987.0,34972
17987.0,35546
17987.0,35552
17987.0,35578
17987.0,79409
17987.0,79410
17987.0,79685
17987.0,80405
17987.0,80407
17987.0,81305
17987.0,85293
17987.0,85530
17987.0,85741
17987.0,86526
17987.0,86535
17987.0,86856
17987.0,86864
17987.0,86865
17987.0,87558
17987.0,87955
17987.0,113474
17987.0,113481
17987.0,114948
17987.0,115198
17987.0,86871
17987.0,26905
17987.0,85758
17991.0,18003
17991.0,26503
17991.0,26506
17991.0,26507
17991.0,26906
17991.0,27450
17991.0,33718
17991.0,34492
17991.0,34497
17991.0,79409
17991.0,79410
17991.0,79685
17991.0,80405
17991.0,80407
17991.0,85293
17991.0,85530
17991.0,85741
17991.0,86526
17991.0,86535
17991.0,86856
17991.0,86864
17991.0,86865
17991.0,87558
17991.0,113474
17991.0,113481
17991.0,114948
17991.0,86871
17991.0,26905
17991.0,85758
18001.0,25936
18001.0,26191
18001.0,26506
18001.0,78671
18001.0,79139
18001.0,79421
18001.0,79713
18001.0,80052
18001.0,80057
18001.0,85308
18001.0,85309
18001.0,85530
18001.0,85766
18001.0,85983
18001.0,113050
18001.0,113258
18001.0,78469
18001.0,85758
18003.0,18003
18003.0,25936
18003.0,26503
18003.0,26506
18003.0,26507
18003.0,26906
18003.0,33718
18003.0,33722
18003.0,34492
18003.0,34497
18003.0,78671
18003.0,79139
18003.0,79410
18003.0,79713
18003.0,80052
18003.0,80405
18003.0,80407
18003.0,85308
18003.0,85309
18003.0,85530
18003.0,86526
18003.0,86535
18003.0,86537
18003.0,86864
18003.0,86865
18003.0,87558
18003.0,113481
18003.0,114948
18003.0,86871
18003.0,86876
18003.0,85758
18056.0,26972
18056.0,33457
18056.0,78475
18056.0,79755
18056.0,80070
18056.0,80082
18056.0,80448
18056.0,85786
18056.0,86017
18056.0,86275
18056.0,86560
18056.0,86905
18056.0,114000
18056.0,26223
18056.0,114250
18056.0,114006
18110.0,18110
18110.0,26260
18110.0,26564
18110.0,26568
18110.0,26575
18110.0,27566
18110.0,34582
18110.0,35079
18110.0,35087
18110.0,35693
18110.0,79178
18110.0,79772
18110.0,80099
18110.0,80904
18110.0,86023
18110.0,86579
18110.0,114029
18110.0,114762
18110.0,114032
18110.0,79776
18110.0,114761
18110.0,114765
18113.0,18134
18113.0,26260
18113.0,26262
18113.0,26267
18113.0,26568
18113.0,26575
18113.0,27566
18113.0,27626
18113.0,34582
18113.0,35079
18113.0,35087
18113.0,78939
18113.0,79178
18113.0,86039
18113.0,114029
18113.0,114762
18113.0,114032
18113.0,86945
18113.0,79776
18113.0,114761
18113.0,114773
18113.0,114765
18130.0,25766
18130.0,25996
18130.0,26284
18130.0,26285
18130.0,26294
18130.0,26598
18130.0,26604
18130.0,27031
18130.0,33250
18130.0,33253
18130.0,33785
18130.0,79471
18130.0,80134
18130.0,80951
18130.0,85351
18130.0,86049
18130.0,86326
18130.0,87302
18130.0,113822
18130.0,114043
18130.0,114046
18130.0,114519
18130.0,114525
18130.0,115025
18130.0,113820
18130.0,80133
18134.0,18113
18134.0,18134
18134.0,26262
18134.0,26267
18134.0,26284
18134.0,26285
18134.0,26575
18134.0,27031
18134.0,27626
18134.0,33785
18134.0,78939
18134.0,79178
18134.0,79471
18134.0,80948
18134.0,80951
18134.0,85351
18134.0,86039
18134.0,87302
18134.0,87668
18134.0,114029
18134.0,114519
18134.0,114032
18134.0,86945
18134.0,114773
18134.0,114765
18138.0,26262
18138.0,26267
18138.0,26284
18138.0,26285
18138.0,26575
18138.0,78939
18138.0,79178
18138.0,79471
18138.0,85351
18138.0,86039
18138.0,114029
18138.0,114519
18138.0,114032
18138.0,86945
18138.0,114773
18138.0,114765
18145.0,18145
18145.0,26262
18145.0,26267
18145.0,26284
18145.0,26285
18145.0,27031
18145.0,33785
18145.0,78939
18145.0,79471
18145.0,80951
18145.0,85351
18145.0,86039
18145.0,86049
18145.0,87302
18145.0,87305
18145.0,114043
18145.0,114046
18145.0,114519
18145.0,114525
18145.0,115025
18145.0,86945
18145.0,114773
18145.0,113820
18150.0,18138
18150.0,26262
18150.0,26267
18150.0,26284
18150.0,26285
18150.0,26575
18150.0,78939
18150.0,79178
18150.0,79471
18150.0,85351
18150.0,86039
18150.0,114029
18150.0,114519
18150.0,114032
18150.0,86945
18150.0,114773
18150.0,114765
18184.0,18184
18184.0,25766
18184.0,25996
18184.0,26294
18184.0,26598
18184.0,26604
18184.0,27636
18184.0,27649
18184.0,27651
18184.0,28419
18184.0,28437
18184.0,28465
18184.0,33250
18184.0,33253
18184.0,33504
18184.0,34178
18184.0,34619
18184.0,35124
18184.0,35761
18184.0,36658
18184.0,37395
18184.0,79814
18184.0,80134
18184.0,80519
18184.0,80529
18184.0,81957
18184.0,85594
18184.0,86049
18184.0,86056
18184.0,86326
18184.0,87305
18184.0,87678
18184.0,88095
18184.0,88552
18184.0,89300
18184.0,113822
18184.0,114043
18184.0,114046
18184.0,114525
18184.0,115569
18184.0,35122
18184.0,87685
18184.0,115025
18184.0,114294
18184.0,34615
18184.0,113820
18184.0,80133
18184.0,114065
18184.0,114790
18191.0,18191
18191.0,25766
18191.0,25996
18191.0,26294
18191.0,26598
18191.0,26604
18191.0,27636
18191.0,27649
18191.0,27651
18191.0,33250
18191.0,33253
18191.0,33504
18191.0,34178
18191.0,34619
18191.0,35124
18191.0,35761
18191.0,79814
18191.0,80134
18191.0,80519
18191.0,80529
18191.0,85594
18191.0,86049
18191.0,86056
18191.0,86326
18191.0,87305
18191.0,87678
18191.0,88095
18191.0,113822
18191.0,114043
18191.0,114046
18191.0,114525
18191.0,35122
18191.0,87685
18191.0,113302
18191.0,115025
18191.0,114294
18191.0,34615
18191.0,113820
18191.0,80133
18191.0,114065
18191.0,114790
18208.0,18208
18208.0,25766
18208.0,25996
18208.0,26294
18208.0,26307
18208.0,26598
18208.0,26604
18208.0,26615
18208.0,27649
18208.0,27651
18208.0,27664
18208.0,28419
18208.0,28437
18208.0,28465
18208.0,29647
18208.0,29661
18208.0,33250
18208.0,33253
18208.0,33504
18208.0,33812
18208.0,34178
18208.0,34619
18208.0,34625
18208.0,34637
18208.0,35124
