hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight
16881,112599405269360642,0.267325,-32.0003,-424.14599999999996,-0.131193,-0.23810599999999998,-0.114352,0.0
16893,954763670775140353,-4.86071,32.1306,-438.48400000000004,-0.039837,0.114423,0.14566800000000002,0.0
16913,63077332818067456,19.4214,-24.8074,-382.224,0.06856280000000001,-0.0734466,-0.896442,0.0
16914,873704375040618498,14.7142,-29.0119,-391.914,-0.000650511,-0.159423,-0.0551117,0.0
16916,58548925476376577,28.2583,-13.7813,-414.991,0.0738661,-0.15996300000000002,0.136952,0.0
16919,369301010599903232,31.2102,-4.94763,-355.397,0.374076,0.026266900000000003,-3.55215,0.0
16920,905224762068832257,31.2084,-4.98071,-394.065,0.166917,-0.0211693,-0.10868199999999999,0.0
16925,873704375040614402,25.2694,18.9042,-377.275,0.158109,0.0369801,-0.00929225,0.0
16939,855686265662603264,-30.7503,-8.80861,-291.762,-0.497595,-0.152044,-4.88494,0.0
16942,396317660578582529,-31.7687,-5.895919999999999,-287.207,-0.245058,-0.0168024,0.29428899999999997,0.0
16944,635010777274646528,-31.2688,-7.32567,-318.94,-0.20914000000000002,-0.059050599999999995,-2.10383,0.0
16945,927744615614775296,-29.9407,-11.1243,-315.61,-0.250106,-0.08293819999999999,-2.54318,0.0
16949,229685436421767168,-31.4689,-6.7533199999999995,-295.105,-0.4722,-0.110919,-4.42813,0.0
16955,657534066811207680,-28.4177,-16.1227,-302.595,-0.44680699999999995,-0.242019,-4.6518,0.0
16956,220697822234677249,-22.4494,-22.8045,-293.41700000000003,-0.038361599999999996,-0.09549819999999999,0.060146500000000006,0.0
16962,63061458618941440,-10.5101,-30.3842,-307.541,-0.184824,-0.562972,-5.66103,0.0
16966,842175672938921984,-13.7303,-28.8325,-312.528,-0.151428,-0.34082199999999996,-3.63458,0.0
16976,671040948683145216,-8.90822,-31.4827,-301.368,-0.157162,-0.592175,-5.59071,0.0
16978,842175672955703297,-14.0467,-31.1929,-314.961,-0.0409625,-0.29676199999999997,-0.306772,0.0
16981,166643287975788544,-4.24948,-31.7455,-296.715,-0.112041,-0.767037,-7.12755,0.0
