inner,outer
17149,25768
17160,25768
17160,25986
17160,25990
17160,26277
17160,26293
17160,26287
17163,25990
17163,26000
17163,26001
17163,26011
17163,26015
17168,25768
17173,25768
17173,25986
17173,25990
17173,26277
17173,26289
17173,26293
17173,33251
17173,33502
17173,26287
17187,25781
17187,25789
17187,25790
17187,26042
17190,26000
17190,26001
17190,26010
17190,26011
17190,26015
17190,26301
17200,25781
17200,26010
17200,26011
17200,26015
17211,25790
17211,26040
17211,26042
17211,33297
17211,33298
17219,25790
17219,26040
17219,26042
17219,33297
17219,33298
17222,25789
17222,25790
17244,25801
17244,26040
17251,25801
17251,25811
17251,26055
17251,26349
17251,26371
17251,33297
17251,33298
17251,33300
17251,33301
17251,33302
17251,25814
17255,25801
17255,25811
17255,25814
17266,25819
17266,25826
17272,26074
17272,26079
17272,26087
17272,26097
17272,26387
17272,33324
17272,33330
17272,33331
17282,26074
17282,26079
17282,26087
17282,26097
17282,26387
17284,25819
17284,25826
17284,26074
17284,26375
17284,26387
17284,33324
17284,33330
17299,26097
17304,25851
17304,26094
17304,26095
17304,33341
17304,33345
17318,26115
17329,25851
17329,26117
17329,26436
17329,26115
17349,25867
17349,25868
17349,25869
17349,25874
17349,25879
17349,26130
17354,25867
17354,25868
17354,25869
17357,25867
17357,25868
17357,25869
17368,25867
17368,25868
17368,25869
17368,25874
17368,25879
17368,26130
17370,25874
17370,25879
17370,25891
17371,25874
17371,25879
17372,25883
17372,25885
17372,25891
17372,26138
17372,26144
17372,26150
17372,33399
17380,25883
17380,25885
17380,25891
17390,25894
17390,25896
17390,25902
17390,25903
17390,26487
17390,26158
17396,25883
17396,25885
17396,25894
17396,25896
17396,25902
17396,25903
17406,25883
17406,25885
17406,25894
17406,25896
17406,25902
17406,25903
17406,26158
17408,25883
17408,25885
17408,25891
17408,26138
17408,26144
17408,26150
17408,33399
17414,25883
17414,25885
17414,25891
17414,25894
17414,26144
17414,26150
17414,33399
17414,33400
17414,33675
17414,33679
17414,33680
17414,33689
17414,26158
17414,26477
17420,25894
17420,25896
17420,25902
17420,25903
17420,26487
17420,33400
17420,33407
17420,33689
17420,33699
17420,26158
17422,25910
17422,25912
17422,25914
17422,25917
17422,25918
17422,25921
17422,26169
17422,26168
17423,25910
17423,25912
17423,25914
17423,25917
17423,25918
17423,25921
17423,26169
17423,26487
17423,26492
17423,33407
17423,33705
17423,33707
17423,26168
17426,25894
17426,25896
17426,25902
17426,25903
17426,26487
17426,33400
17426,33407
17426,33689
17426,33699
17426,26158
17434,25896
17434,25902
17434,25903
17434,25910
17434,25912
17434,25914
17434,25917
17434,25921
17438,25910
17438,25912
17438,25914
17438,25917
17438,25918
17438,25921
17440,25922
17440,25924
17440,25926
17440,25928
17440,25934
17440,26181
17440,26182
17440,26183
17444,25922
17444,25924
17444,25926
17444,25928
17444,25934
17444,26182
17444,26198
17444,26183
17447,25922
17447,25924
17447,25926
17447,25928
17447,25934
17447,26181
17447,26182
17447,26189
17447,26198
17447,26516
17447,33422
17447,33426
17447,33428
17447,33430
17447,33434
17447,33441
17447,33424
17447,26522
17447,26183
17449,25910
17449,25912
17449,25914
17449,25917
17449,25918
17449,25921
17449,26169
17449,26492
17449,33419
17449,33705
17449,33707
17449,26168
17450,25922
17450,25924
17450,25926
17450,25928
17450,25934
17455,25922
17455,25924
17455,25926
17455,25928
17455,25934
17455,26181
17455,26182
17455,26183
17458,25922
17458,25924
17458,25926
17458,25928
17458,25934
17458,26181
17458,26182
17458,26189
17458,26198
17458,26183
17472,25947
17472,25952
17472,26189
17472,26195
17472,26198
17472,25951
17472,26522
17475,25947
17475,25952
17475,25951
17480,25947
17480,25952
17480,26189
17480,26195
17480,26198
17480,25951
17486,25947
17486,25952
17486,26214
17486,26218
17486,26224
17486,26231
17486,26537
17486,33755
17486,33448
17486,33456
17491,25947
17491,25952
17491,26189
17491,26195
17491,26198
17491,25951
17504,25961
17504,26231
17504,26237
17510,25961
17510,26231
17510,26237
17517,25961
17522,26218
17527,25961
17527,25963
17527,26237
17527,26247
17527,26250
17527,26255
17527,26565
17527,26572
17527,33472
17527,33763
17527,26246
17528,25971
17528,26255
17528,26265
17528,25973
17531,25971
17531,26255
17531,26265
17531,26572
17531,26573
17531,33481
17531,33483
17531,33485
17531,33492
17531,33495
17531,25973
17537,25963
17537,26247
17537,26250
17537,26255
17537,26572
17537,33472
17537,33481
17537,33483
17537,26246
17551,25963
17551,26247
17551,26250
17551,26255
17551,26246
17555,25961
17555,25963
17555,26237
17555,26247
17555,26250
17555,26255
17555,26572
17555,33472
17555,26246
17557,25768
17557,25986
17557,26275
17557,26277
17557,26285
17557,26289
17557,26293
17557,33251
17557,33494
17557,33502
17557,33791
17557,26287
17574,25768
17574,25986
17574,26275
17574,26277
17574,26285
17574,26289
17574,26293
17574,33251
17574,33494
17574,33502
17574,33791
17574,33794
17574,26287
17578,25971
17578,25973
17584,26000
17584,26001
17584,26010
17584,26011
17584,26015
17584,26300
17584,26301
17584,26307
17584,26321
17584,33519
17584,33814
17584,33826
17584,33836
17584,33517
17584,33837
17584,33511
17584,26316
17585,26000
17585,26001
17585,26010
17585,26011
17585,26015
17585,26300
17585,26301
17585,26307
17585,26321
17585,26627
17585,26628
17585,27068
17585,27092
17585,33519
17585,33814
17585,33826
17585,33836
17585,34179
17585,34186
17585,34190
17585,34191
17585,34194
17585,34629
17585,34631
17585,34639
17585,34644
17585,34645
17585,33517
17585,33837
17585,34206
17585,33511
17585,26316
17586,25990
17586,26000
17586,26001
17586,26011
17586,26015
17586,26300
17586,26301
17586,26307
17586,26628
17586,27034
17586,27035
17586,27042
17586,27043
17586,27067
17586,27068
17586,27659
17586,27660
17586,33519
17586,33814
17586,34172
17586,34175
17586,34176
17586,34179
17586,34186
17586,34190
17586,34191
17586,34194
17586,34619
17586,34620
17586,34622
17586,34626
17586,34629
17586,34631
17586,34636
17586,34639
17586,34644
17586,34645
17586,35150
17586,33517
17586,33511
17586,26316
17588,25768
17588,25990
17588,26277
17588,26289
17588,26293
17588,26603
17588,27028
17588,33251
17588,33502
17588,34157
17588,34164
17588,34176
17588,26287
17588,33799
17591,25990
17591,26277
17591,26289
17591,26293
17591,26603
17591,27028
17591,27034
17591,27035
17591,27038
17591,27042
17591,27043
17591,27044
17591,27050
17591,27633
17591,33251
17591,33502
17591,34157
17591,34164
17591,34171
17591,34172
17591,34175
17591,34176
17591,34609
17591,34619
17591,34620
17591,34622
17591,35114
17591,35118
17591,35119
17591,26287
17591,27635
17591,33799
17591,35113
17601,25990
17601,26000
17601,26001
17601,26289
17601,26293
17601,26307
17601,27038
17601,27068
17601,33251
17601,33814
17601,34164
17601,34171
17601,34172
17601,34175
17601,34176
17601,34179
17601,34186
17601,34190
17601,34191
17601,34194
17601,34622
17601,33511
17601,33799
17604,26275
17604,26277
17604,26285
17604,26289
17604,26293
17604,26588
17604,26603
17604,27018
17604,27019
17604,27021
17604,27028
17604,27038
17604,33251
17604,33494
17604,33502
17604,33791
17604,33794
17604,34153
17604,34155
17604,34157
17604,34164
17604,34171
17604,26287
17604,33799
17611,26000
17611,26001
17611,26010
17611,26011
17611,26015
17611,26300
17611,26301
17611,26307
17611,26321
17611,26627
17611,26628
17611,27068
17611,27092
17611,33519
17611,33814
17611,33826
17611,33836
17611,34179
17611,33517
17611,33837
17611,34206
17611,33511
17611,26316
17612,25768
17612,25990
17612,26000
17612,26001
17612,26289
17612,26293
17612,26307
17612,33251
17612,33814
17612,34164
17612,34176
17612,33511
17612,33799
17615,25990
17615,26277
17615,26289
17615,26293
17615,26603
17615,27028
17615,27035
17615,27038
17615,27042
17615,27633
17615,33251
17615,33502
17615,34157
17615,34164
17615,34171
17615,34172
17615,34175
17615,34176
17615,34619
17615,34622
17615,26287
17615,33799
17615,35113
17619,25781
17619,25789
17619,26010
17619,26321
17619,26328
17619,26330
17619,26333
17619,26338
17619,33280
17619,33281
17619,33275
17619,26346
17630,25781
17630,26010
17630,26011
17630,26015
17630,26300
17630,26301
17630,26321
17630,26328
17630,26333
17630,26338
17630,26627
17630,26628
17630,27092
17630,33280
17630,33519
17630,33826
17630,33836
17630,33838
17630,33843
17630,33517
17630,33837
17630,34206
17630,33275
17630,34222
17630,33835
17630,26316
17635,26042
17635,26328
17635,26330
17635,26333
17635,26338
17635,26655
17635,27100
17635,27103
17635,27120
17635,27121
17635,27131
17635,27136
17635,27142
17635,33280
17635,33281
17635,33838
17635,33843
17635,33848
17635,34225
17635,34232
17635,34241
17635,34665
17635,34678
17635,35172
17635,35187
17635,35213
17635,33537
17635,33275
17635,33853
17635,26346
17635,33846
17635,27730
17635,34222
17635,27140
17635,33835
17638,25781
17638,26010
17638,26011
17638,26015
17638,26300
17638,26301
17638,26321
17638,26328
17638,26333
17638,26338
17638,26627
17638,26628
17638,27092
17638,33280
17638,33519
17638,33826
17638,33836
17638,33838
17638,33843
17638,33517
17638,33837
17638,34206
17638,33275
17638,34222
17638,33835
17638,26316
17652,25781
17652,26010
17652,26321
17652,26328
17652,26330
17652,26333
17652,26338
17652,26627
17652,27092
17652,27100
17652,27103
17652,27120
17652,27131
17652,33280
17652,33281
17652,33826
17652,33836
17652,33838
17652,33843
17652,33848
17652,34225
17652,34656
17652,34665
17652,34678
17652,33837
17652,34206
17652,33275
17652,26346
17652,33846
17652,27730
17652,34222
17652,33835
17652,34657
17653,25781
17653,25789
17653,26010
17653,26321
17653,26328
17653,26330
17653,26333
17653,26338
17653,33280
17653,33281
17653,33826
17653,33836
17653,33838
17653,33843
17653,33848
17653,34225
17653,33837
17653,33275
17653,26346
17653,33846
17653,34222
17653,33835
17679,25789
17679,25790
17679,26040
17679,26042
17679,26330
17679,33281
17679,33544
17679,33537
17679,26346
17680,25789
17680,25790
17680,26040
17680,26042
17680,26330
17680,26655
17680,27161
17680,33281
17680,33544
17680,33848
17680,33862
17680,34225
17680,34232
17680,34241
17680,33537
17680,33853
17680,26346
17680,33846
17687,25801
17687,26040
17687,26347
17687,26349
17687,26352
17687,26356
17687,26363
17687,26678
17687,26683
17687,27153
17687,27161
17687,27176
17687,27178
17687,27773
17687,27818
17687,33297
17687,33298
17687,33300
17687,33301
17687,33302
17687,33544
17687,33553
17687,33862
17687,33864
17687,33873
17687,34252
17687,34258
17687,34265
17687,34268
17687,34269
17687,34278
17687,34693
17687,34696
17687,34719
17687,34721
17687,33549
17687,33548
17687,33868
17691,25790
17691,26040
17691,26042
17691,26347
17691,26349
17691,26352
17691,26655
17691,33297
17691,33298
17691,33544
17691,33862
17691,33864
17691,34241
17691,33537
17691,33549
17691,33548
17691,33853
17691,33868
17692,25789
17692,25790
17692,26040
17692,26042
17692,26330
17692,26655
17692,33281
17692,33544
17692,33848
17692,33862
17692,33537
17692,33853
17692,26346
17692,33846
17704,25789
17704,25790
17704,26040
17704,26042
17704,26330
17704,26655
17704,27161
17704,33281
17704,33544
17704,33848
17704,33862
17704,34225
17704,34232
17704,34241
17704,33537
17704,33853
17704,26346
17704,33846
17712,25801
17712,25811
17712,26055
17712,26356
17712,26363
17712,26371
17712,26683
17712,26693
17712,26705
17712,33300
17712,33301
17712,33302
17712,33307
17712,33309
17712,33312
17712,33553
17712,33563
17712,25814
17712,33559
17713,25801
17713,25811
17713,26055
17713,26347
17713,26349
17713,26352
17713,26356
17713,26363
17713,26371
17713,26678
17713,26683
17713,26686
17713,33297
17713,33298
17713,33300
17713,33301
17713,33302
17713,33553
17713,33563
17713,33864
17713,33873
17713,33882
17713,33885
17713,25814
17713,33559
17713,33549
17713,33548
17713,33868
17716,25801
17716,25811
17716,26055
17716,26347
17716,26349
17716,26352
17716,26356
17716,26363
17716,26371
17716,26678
17716,26683
17716,26686
17716,27153
17716,27171
17716,27178
17716,27191
17716,33297
17716,33298
17716,33300
17716,33301
17716,33302
17716,33553
17716,33563
17716,33864
17716,33873
17716,33882
17716,33885
17716,34258
17716,34265
17716,34268
17716,34269
17716,34278
17716,34721
17716,25814
17716,33559
17716,33549
17716,33548
17716,33868
17718,25801
17718,25811
17718,26055
17718,26356
17718,26363
17718,26371
17718,26678
17718,26683
17718,26686
17718,26693
17718,26705
17718,27171
17718,27176
17718,27178
17718,27185
17718,27191
17718,33300
17718,33301
17718,33302
17718,33307
17718,33309
17718,33312
17718,33553
17718,33563
17718,33873
17718,33882
17718,33885
17718,34269
17718,34278
17718,34287
17718,34288
17718,34290
17718,34719
17718,34721
17718,34731
17718,34735
17718,34736
17718,34740
17718,25814
17718,33559
17723,25801
17723,25811
17723,26055
17723,26356
17723,26363
17723,26371
17723,26678
17723,26683
17723,26686
17723,26693
17723,26705
17723,27171
17723,27176
17723,27178
17723,27185
17723,27191
17723,33300
17723,33301
17723,33302
17723,33307
17723,33309
17723,33312
17723,33553
17723,33563
17723,33873
17723,33882
17723,33885
17723,34269
17723,34278
17723,34287
17723,34288
17723,34290
17723,34719
17723,34721
17723,34735
17723,34736
17723,34740
17723,25814
17723,33559
17732,25819
17732,25826
17732,26365
17732,26375
17732,26380
17732,26384
17732,26693
17732,26705
17732,26715
17732,26723
