density,runtime,recall,precision,doublets_made,seed
0.05,0.75,0.9911504424778761,0.008572193945888026,27307,901695431
0.1,2.19,0.991701244813278,0.004831210834849404,101257,749551835
0.15,4.39,0.9899874843554443,0.003528760963249137,227625,401073021
0.2,7.13,0.9903194578896418,0.0027044961256705064,382822,858938997
0.25,10.54,0.9955947136563876,0.0019184342859859223,594890,308244803
0.3,15.19,0.9965729952021933,0.0016721023409432773,876572,909619312
0.35,19.54,0.9864130434782609,0.0012700245345648722,1151454,361432510
0.4,25.4,0.9939365671641791,0.0013998214587177477,1531327,1024513556
0.45,32.74,0.9916556873078612,0.001138416411346452,1993943,618739742
0.5,38.5,0.9902542372881356,0.0009854543231168525,2383072,575328592
0.55,46.98,0.9912314144109798,0.0009040610422015694,2888562,639967862
0.6,55.47,0.9909649439826527,0.0007973790598138984,3452810,977914136
0.65,64.96,0.9925419515226849,0.0007792049377294739,4114136,952792597
0.7,74.14,0.9931547619047619,0.0007112815174233065,4707802,47627696
0.75,84.97,0.9925629290617849,0.0006475818509867505,5375875,215849474
0.8,96.08,0.9927629878521582,0.0006296910218781973,6118361,984783329
0.85,108.47,0.9927788844621513,0.0005763420479469748,6937730,367002175
0.9,120.62,0.9930362116991643,0.0005473706568128007,7836696,637781346
0.95,135.17,0.9930602193866129,0.0005150591522679033,8634821,881000634
1.0,149.0,0.9926284751474305,0.0004940377412129051,9563073,837140202
