hit_id,x,y,z,volume_id,layer_id,module_id
16874,-32.5544,-3.64871,-469.865,8,2,1
16883,19.4049,-25.486,-480.153,8,2,6
16890,21.2495,24.148000000000003,-485.528,8,2,10
16901,-31.5292,8.0842,-484.898,8,2,16
16904,-29.9363,-9.636610000000001,-375.12800000000004,8,2,17
16906,-4.3794699999999995,-31.2423,-375.931,8,2,20
16910,12.8042,-28.8288,-370.85699999999997,8,2,21
16914,14.7148,-29.0114,-391.914,8,2,22
16919,31.2099,-4.953,-355.38699999999994,8,2,24
16920,31.2085,-4.9791,-394.061,8,2,24
16921,31.2311,-4.57745,-398.62300000000005,8,2,24
16933,-15.6292,28.1946,-385.54,8,2,30
16934,-15.2181,28.5618,-356.066,8,2,30
16935,-24.8599,20.8336,-365.509,8,2,31
16937,-30.9675,9.251339999999999,-362.351,8,2,32
16939,-30.7506,-8.807839999999999,-291.778,8,2,33
16941,-31.9957,-5.24677,-286.073,8,2,33
16943,-29.0782,-13.5912,-325.205,8,2,33
16948,-29.6523,-11.9489,-318.985,8,2,33
16949,-31.4695,-6.751519999999999,-295.098,8,2,33
16952,-32.26,-11.821,-291.61400000000003,8,2,34
16958,-29.7923,-14.5837,-283.366,8,2,34
16960,-18.9793,-26.303,-300.719,8,2,35
16967,-19.5129,-26.0459,-299.914,8,2,35
16972,-3.8629,-31.7673,-288.612,8,2,36
16977,-4.84176,-31.7121,-321.638,8,2,36
16978,-14.0493,-31.1927,-314.962,8,2,36
16979,-7.56847,-31.5583,-310.948,8,2,36
16980,-10.6158,-31.3864,-294.067,8,2,36
16981,-4.24797,-31.7456,-296.724,8,2,36
16983,5.677169999999999,-31.8452,-291.05400000000003,8,2,37
16987,10.3512,-30.211,-315.857,8,2,37
16991,20.6547,-24.3697,-288.308,8,2,38
16993,16.1798,-28.3667,-294.415,8,2,38
16996,23.1078,-22.1786,-315.257,8,2,38
16998,18.6271,-26.1808,-290.922,8,2,38
17000,27.3178,-16.8735,-345.097,8,2,39
17001,26.8878,-17.7659,-294.139,8,2,39
17003,27.3535,-16.7994,-300.212,8,2,39
17005,29.9592,-11.3921,-317.872,8,2,39
17006,26.6708,-18.2163,-283.32,8,2,39
17007,29.9592,-11.3921,-288.672,8,2,39
17008,26.6841,-18.1886,-312.268,8,2,39
17009,25.5019,-20.6419,-285.803,8,2,39
17011,29.5823,-12.1743,-301.647,8,2,39
17013,27.7206,-16.0375,-284.56,8,2,39
17016,31.5342,-7.99587,-328.186,8,2,40
17019,31.996,0.191118,-306.577,8,2,40
17020,31.8871,-1.7402799999999998,-296.534,8,2,40
17024,31.8814,-1.84033,-300.622,8,2,40
17025,31.6848,-5.32565,-301.812,8,2,40
17027,32.0271,5.15695,-287.97,8,2,41
17028,29.3058,12.9401,-280.033,8,2,41
17029,30.0319,10.8634,-303.041,8,2,41
17035,29.0748,13.6009,-301.829,8,2,41
17036,28.9097,14.0729,-295.18,8,2,41
17038,29.6193,12.0433,-319.279,8,2,41
17041,27.8254,16.7858,-296.018,8,2,42
17045,25.8998,18.9417,-291.205,8,2,42
17046,23.8499,21.2366,-292.44599999999997,8,2,42
17047,25.9003,18.9411,-291.2,8,2,42
17052,22.3815,22.8806,-333.176,8,2,42
17060,10.5814,30.3499,-280.339,8,2,43
17061,20.5866,25.5285,-301.065,8,2,43
17062,24.956,23.423000000000002,-297.731,8,2,43
17064,20.0716,25.7767,-349.335,8,2,43
17065,12.3727,29.4867,-288.20799999999997,8,2,43
17068,20.6488,25.4986,-324.86,8,2,43
17069,16.9502,27.2809,-293.031,8,2,43
17070,21.377,25.1476,-281.454,8,2,43
17075,18.6205,26.4759,-280.762,8,2,43
17076,17.1762,27.1719,-293.447,8,2,43
17078,16.5494,27.474,-283.87,8,2,43
17081,23.2221,24.2585,-285.124,8,2,43
17082,25.3195,23.2479,-298.298,8,2,43
17083,14.5285,28.4478,-284.189,8,2,43
17087,9.25837,31.463,-289.134,8,2,44
17093,1.82635,31.8822,-302.164,8,2,44
17095,-5.67309,31.8466,-296.231,8,2,45
17096,-5.24213,31.9973,-341.824,8,2,45
17099,-6.13211,31.6861,-301.746,8,2,45
17104,-13.2705,29.1903,-308.691,8,2,45
17105,-23.5055,21.8233,-321.59,8,2,46
17112,-13.2107,31.0187,-291.749,8,2,46
17113,-17.5603,27.1336,-280.9,8,2,46
17116,-20.0788,24.8841,-280.163,8,2,46
17117,-26.9972,17.5389,-346.631,8,2,47
17119,-25.1051,21.4653,-299.45799999999997,8,2,47
17124,-24.9356,21.816999999999997,-291.848,8,2,47
17125,-23.2334,25.3495,-285.553,8,2,47
17127,-23.2493,25.3165,-291.96299999999997,8,2,47
17133,-31.5694,7.37202,-304.256,8,2,48
17139,-31.2825,12.4572,-280.19599999999997,8,2,48
17142,-31.2106,-5.99212,-240.31099999999998,8,2,49
17143,-29.9923,-9.476510000000001,-259.545,8,2,49
17144,-30.5688,-7.8277,-249.938,8,2,49
17146,-30.4417,-8.191180000000001,-226.65200000000002,8,2,49
17152,-31.7146,-4.5504,-259.814,8,2,49
17155,-30.2335,-8.78662,-259.19,8,2,49
17156,-31.0594,-6.42436,-215.317,8,2,49
17161,-28.3699,-14.1169,-216.713,8,2,49
17162,-31.374000000000002,-5.52465,-261.407,8,2,49
17163,-29.6895,-10.3427,-239.22799999999998,8,2,49
17164,-28.6504,-13.3145,-252.264,8,2,49
17168,-30.9966,-6.6042,-265.17,8,2,49
17171,-29.723000000000003,-10.2466,-234.34400000000002,8,2,49
17172,-31.3762,-5.51848,-221.13299999999998,8,2,49
17176,-21.6407,-22.9667,-215.267,8,2,50
17178,-27.7182,-16.1626,-246.149,8,2,50
17181,-24.9504,-19.2613,-224.231,8,2,50
17183,-21.8739,-22.7057,-245.167,8,2,50
17189,-28.8019,-14.9493,-264.17900000000003,8,2,50
17192,-31.3242,-12.1254,-220.24200000000002,8,2,50
17193,-21.7014,-22.8988,-228.023,8,2,50
17197,-25.9589,-18.1323,-232.132,8,2,50
17199,-25.3413,-18.8237,-243.415,8,2,50
17201,-23.839000000000002,-20.5056,-235.77700000000002,8,2,50
17203,-25.8857,-18.2142,-222.405,8,2,50
17206,-22.5067,-21.9972,-223.08,8,2,50
17208,-11.6999,-29.2613,-244.017,8,2,51
17209,-13.4914,-28.398000000000003,-263.79200000000003,8,2,51
17210,-13.4509,-28.4175,-260.39099999999996,8,2,51
17211,-14.7894,-27.7725,-231.88099999999997,8,2,51
17214,-10.1684,-29.9993,-221.995,8,2,51
17216,-15.3436,-27.5054,-229.382,8,2,51
17217,-13.8187,-28.2403,-266.348,8,2,51
17219,-15.9641,-27.2064,-223.11,8,2,51
17220,-13.7893,-28.2544,-273.318,8,2,51
17222,-19.3085,-25.5948,-259.475,8,2,51
17225,-20.264,-25.1344,-274.66,8,2,51
17226,-12.5628,-28.8454,-258.785,8,2,51
17230,-17.7092,-26.3655,-232.71400000000003,8,2,51
17233,-21.171,-24.6973,-270.51599999999996,8,2,51
17236,-4.32589,-31.2453,-228.06900000000002,8,2,52
17238,-9.267669999999999,-30.9666,-210.71,8,2,52
17239,-6.6247300000000005,-31.1156,-274.97900000000004,8,2,52
17241,-12.7875,-30.768,-213.84099999999998,8,2,52
17242,-8.70818,-30.9981,-246.24400000000003,8,2,52
17245,1.5866,-31.5788,-232.36599999999999,8,2,52
17247,-5.38426,-31.1856,-270.249,8,2,52
17249,0.012359299999999998,-31.49,-235.917,8,2,52
17251,-8.599160000000001,-31.0043,-223.34400000000002,8,2,52
17253,-4.73307,-31.2223,-213.425,8,2,52
17255,-8.5991,-31.0043,-250.705,8,2,52
17256,-1.25111,-31.4188,-251.18400000000003,8,2,52
17261,3.8342300000000002,-31.965,-221.169,8,2,53
17264,8.07873,-30.480999999999998,-269.856,8,2,53
17265,11.6992,-29.2152,-210.611,8,2,53
17267,5.72446,-31.3041,-274.17400000000004,8,2,53
17268,10.2899,-29.7079,-234.563,8,2,53
17272,8.925089999999999,-30.1851,-222.075,8,2,53
17273,8.45311,-30.3501,-250.592,8,2,53
17275,7.832339999999999,-30.5672,-260.58099999999996,8,2,53
17282,8.53638,-30.320999999999998,-235.613,8,2,53
17285,16.426,-27.483,-274.214,8,2,54
17287,16.073,-27.7983,-243.53400000000002,8,2,54
17289,21.8867,-22.6054,-248.446,8,2,54
17295,17.0886,-26.8911,-253.74900000000002,8,2,54
17300,16.3143,-27.5827,-258.112,8,2,54
17303,14.8716,-28.8714,-254.916,8,2,54
17305,15.6006,-28.2202,-225.657,8,2,54
17307,17.6786,-26.3641,-242.976,8,2,54
17308,17.0197,-26.9526,-273.23,8,2,54
17310,18.2881,-25.8197,-238.442,8,2,54
17311,17.0226,-26.9501,-213.512,8,2,54
17313,29.0659,-12.1053,-220.794,8,2,55
17314,26.281,-17.8846,-243.949,8,2,55
17315,24.7238,-21.1161,-232.798,8,2,55
17316,25.0682,-20.4014,-265.585,8,2,55
17319,28.8706,-12.5107,-250.595,8,2,55
17322,27.1599,-16.0608,-234.873,8,2,55
17323,29.9776,-10.2135,-229.892,8,2,55
17325,26.0439,-18.3766,-271.857,8,2,55
17329,25.5726,-19.3545,-233.44099999999997,8,2,55
17331,26.8256,-16.7545,-253.69299999999998,8,2,55
17333,31.2052,-5.03715,-245.332,8,2,56
17335,31.1709,-5.6456800000000005,-234.94,8,2,56
17337,31.2732,-3.83124,-264.37,8,2,56
17338,31.4521,-0.659829,-223.012,8,2,56
17340,31.374000000000002,-2.04447,-218.09799999999998,8,2,56
17341,31.1646,-5.75646,-248.775,8,2,56
17343,31.163,-5.7859300000000005,-274.411,8,2,56
17347,31.0202,-8.31608,-229.666,8,2,56
17348,30.9386,-9.76384,-230.729,8,2,56
17349,31.5732,1.48676,-256.39,8,2,56
17350,30.9426,-9.69186,-212.73,8,2,56
17352,31.4393,-0.8875540000000001,-253.146,8,2,56
17354,31.1029,-6.8511,-230.898,8,2,56
17357,31.2677,-3.92855,-262.574,8,2,56
17360,31.1085,-6.7507600000000005,-261.79900000000004,8,2,56
17361,29.294,11.4738,-231.65900000000002,8,2,57
17373,29.195,11.757,-224.44099999999997,8,2,57
17374,32.1204,3.38985,-263.873,8,2,57
17379,30.9709,6.6777,-259.22900000000004,8,2,57
17382,31.9717,3.8151,-243.64700000000002,8,2,57
17384,28.4029,14.0225,-237.97400000000002,8,2,57
17385,28.7659,12.9841,-240.50099999999998,8,2,57
17386,29.9961,9.46575,-211.285,8,2,57
17387,27.5854,16.3113,-229.497,8,2,58
17390,21.2743,23.3769,-226.03900000000002,8,2,58
17395,26.3798,17.6611,-209.518,8,2,58
17396,24.8737,19.3472,-267.629,8,2,58
17398,21.9553,22.6145,-225.201,8,2,58
17404,24.2296,20.0683,-267.425,8,2,58
17406,23.7724,20.5801,-238.225,8,2,58
17414,27.4339,16.4809,-209.832,8,2,58
17420,23.351999999999997,23.6464,-218.32,8,2,59
17426,23.5615,23.5454,-217.975,8,2,59
17428,24.859,22.9201,-213.56900000000002,8,2,59
17432,11.0243,29.5869,-235.655,8,2,59
17433,17.695999999999998,26.3718,-215.96,8,2,59
17439,6.796010000000001,31.105999999999998,-228.91,8,2,60
17440,6.63271,31.1152,-237.122,8,2,60
17441,5.60755,31.173000000000002,-212.774,8,2,60
17442,-1.71606,31.5861,-229.797,8,2,60
17443,8.38775,31.0162,-218.732,8,2,60
17445,7.76118,31.0515,-261.93,8,2,60
17447,3.5408199999999996,31.2896,-223.104,8,2,60
17448,3.4912,31.2924,-235.38,8,2,60
17450,3.20601,31.3085,-268.982,8,2,60
17452,9.7154,30.9413,-235.82299999999998,8,2,60
17460,0.70975,31.4493,-233.91,8,2,60
17462,-3.48757,32.0862,-244.25099999999998,8,2,61
17464,-2.87525,32.3003,-269.798,8,2,61
17465,-7.524710000000001,30.6747,-246.31599999999997,8,2,61
17469,-6.4747699999999995,31.0418,-256.471,8,2,61
17474,-3.88847,31.9461,-264.73900000000003,8,2,61
17478,-13.1524,28.7071,-260.649,8,2,61
17481,-3.06707,32.2333,-223.03799999999998,8,2,61
17483,-9.93747,29.8311,-248.64,8,2,61
17486,-11.2378,29.3765,-212.293,8,2,61
17488,-8.79439,30.2308,-210.983,8,2,61
17489,-11.5883,29.2539,-243.563,8,2,61
17491,-5.25894,31.4669,-242.53799999999998,8,2,61
17493,-9.962,29.8226,-231.899,8,2,61
17494,-5.21186,31.4834,-258.555,8,2,61
17497,-10.122,29.7666,-210.59799999999998,8,2,61
17498,-15.6422,28.183000000000003,-269.623,8,2,62
17501,-22.2454,22.285,-253.82,8,2,62
17502,-21.1271,23.2839,-246.578,8,2,62
17514,-21.7734,22.7066,-215.71200000000002,8,2,62
17515,-20.5304,23.8169,-228.457,8,2,62
17517,-20.5064,23.8383,-265.066,8,2,62
17518,-16.1411,27.7374,-234.761,8,2,62
17520,-22.581999999999997,21.9844,-243.33,8,2,62
17525,-17.8745,26.1891,-241.296,8,2,62
17527,-24.8178,20.921,-218.168,8,2,63
17531,-28.4033,13.4804,-218.112,8,2,63
17536,-26.1239,18.2106,-244.46900000000002,8,2,63
17537,-26.3265,17.7902,-229.06099999999998,8,2,63
17541,-29.2613,11.6999,-231.187,8,2,63
17544,-29.1539,11.9228,-237.59400000000002,8,2,63
17547,-28.3202,13.6529,-230.024,8,2,63
17549,-28.1208,14.0665,-241.12900000000002,8,2,63
17550,-24.7366,21.0895,-243.387,8,2,63
17551,-26.904,16.5917,-236.748,8,2,63
17554,-29.3481,11.5197,-268.89099999999996,8,2,63
17555,-25.0596,20.4191,-229.768,8,2,63
17560,-31.1745,5.58145,-220.517,8,2,64
17563,-31.0986,6.9265300000000005,-251.75400000000002,8,2,64
17565,-30.8836,10.7387,-269.796,8,2,64
17570,-31.3133,3.1215200000000003,-258.953,8,2,64
17571,-31.3565,2.35575,-231.203,8,2,64
17572,-30.9615,9.35699,-226.993,8,2,64
17576,-31.399,1.6015,-267.002,8,2,64
17578,-30.7971,12.272,-270.809,8,2,64
17580,-29.7019,-11.8073,-164.342,8,2,65
17582,-29.5038,-12.3737,-154.006,8,2,65
17583,-32.1889,-4.69407,-144.017,8,2,65
17585,-29.5352,-12.2839,-151.368,8,2,65
17587,-33.5262,-0.8691909999999999,-160.871,8,2,65
17592,-33.7268,-0.29546999999999995,-199.09599999999998,8,2,65
17602,-32.0025,-5.2271,-150.171,8,2,65
17605,-32.1006,-4.94669,-172.886,8,2,65
17606,-31.9758,-5.3035,-205.463,8,2,65
17607,-31.1119,-7.77433,-173.641,8,2,65
17608,-29.1078,-13.5065,-164.857,8,2,65
17610,-29.5203,-12.3267,-151.27100000000002,8,2,65
17614,-29.9454,-11.1107,-149.08700000000002,8,2,65
17615,-32.4784,-3.86595,-158.91,8,2,65
17616,-29.0748,-13.6009,-167.07,8,2,65
17617,-29.6523,-11.9489,-149.373,8,2,65
17625,-28.2603,-16.2989,-194.576,8,2,66
17627,-27.6971,-16.9294,-160.751,8,2,66
17629,-26.2787,-18.5174,-187.175,8,2,66
17636,-27.9728,-16.6208,-201.74400000000003,8,2,66
17638,-26.6204,-18.1349,-170.05,8,2,66
17641,-25.919,-18.9202,-197.989,8,2,66
17642,-29.4462,-14.9712,-180.34900000000002,8,2,66
17644,-22.3895,-22.8716,-168.752,8,2,66
17645,-25.1874,-19.7392,-139.411,8,2,66
17648,-27.8759,-16.7293,-190.358,8,2,66
17649,-24.1534,-20.8969,-202.71599999999998,8,2,66
17651,-26.7307,-18.0114,-161.524,8,2,66
17652,-25.3718,-19.5328,-142.106,8,2,66
17653,-26.4768,-18.2957,-178.38,8,2,66
17655,-24.3969,-20.6242,-178.887,8,2,66
17662,-21.4569,-23.9157,-155.069,8,2,66
17663,-26.1069,-18.7098,-191.49400000000003,8,2,66
17665,-23.1889,-21.9766,-142.137,8,2,66
17666,-24.8562,-20.1101,-170.15099999999998,8,2,66
17667,-26.6342,-18.1194,-146.907,8,2,66
17669,-12.7434,-29.308000000000003,-141.77700000000002,8,2,67
17672,-19.0906,-26.2494,-155.344,8,2,67
17673,-15.364,-28.0452,-170.38,8,2,67
17674,-10.6264,-30.3282,-176.69799999999998,8,2,67
17676,-11.3471,-29.9809,-155.634,8,2,67
17678,-13.1488,-29.1127,-167.671,8,2,67
17679,-21.0146,-25.3223,-206.997,8,2,67
17687,-14.737,-28.3474,-142.44,8,2,67
17688,-18.438,-26.5639,-178.21599999999998,8,2,67
17689,-20.8075,-25.4221,-187.236,8,2,67
17691,-16.2937,-27.5972,-179.658,8,2,67
17692,-19.8599,-25.8787,-183.97299999999998,8,2,67
17695,-15.2208,-28.1142,-205.609,8,2,67
17700,-19.6,-26.0039,-173.41299999999998,8,2,67
17701,-19.1305,-26.2302,-170.519,8,2,67
17703,-10.8967,-30.1979,-145.08700000000002,8,2,67
17708,-11.1431,-31.3567,-143.22799999999998,8,2,68
17711,-11.6133,-31.3301,-139.475,8,2,68
17714,0.191118,-31.996,-190.245,8,2,68
17716,-10.6253,-31.3859,-155.77100000000002,8,2,68
17718,-6.14827,-31.6384,-145.613,8,2,68
17720,-10.4331,-31.3967,-193.16099999999997,8,2,68
