inner,outer
16916.0,72797
16936.0,109537
16973.0,16973
17128.0,17128
17160.0,85374
17188.0,78755
17188.0,113608
17188.0,112921
17188.0,113323
17203.0,78755
17203.0,78973
17203.0,79226
17203.0,112921
17203.0,113591
17203.0,114325
17203.0,113323
17338.0,25863
17338.0,25873
17338.0,78431
17338.0,78618
17338.0,78624
17338.0,78819
17338.0,113692
17338.0,113204
17338.0,113408
17338.0,113413
17338.0,113209
17345.0,25873
17345.0,78431
17345.0,78624
17345.0,78819
17345.0,79349
17345.0,85489
17345.0,113692
17345.0,113408
17345.0,113413
17345.0,113209
17353.0,25863
17353.0,26125
17353.0,78613
17353.0,78618
17353.0,78812
17353.0,78819
17353.0,79331
17353.0,85703
17353.0,113692
17353.0,113907
17353.0,85702
17353.0,113204
17353.0,113408
17353.0,113413
17353.0,113209
17398.0,78450
17398.0,78852
17398.0,79384
17398.0,79666
17398.0,85285
17398.0,85723
17398.0,113449
17398.0,114435
17398.0,113038
17398.0,78447
17398.0,78867
17398.0,113945
17398.0,113452
17401.0,85285
17415.0,25886
17415.0,73672
17415.0,78436
17415.0,78636
17415.0,78852
17415.0,79365
17415.0,79384
17415.0,79666
17415.0,80000
17415.0,80001
17415.0,80007
17415.0,85723
17415.0,113710
17415.0,86215
17415.0,85507
17415.0,113935
17415.0,113933
17415.0,113021
17415.0,78447
17415.0,85717
17415.0,113945
17422.0,85285
17422.0,85296
17440.0,85536
17484.0,80058
17484.0,85310
17484.0,85775
17484.0,113061
17484.0,85996
17484.0,113781
17484.0,113981
17484.0,78680
17484.0,79718
17484.0,113505
17484.0,113979
17484.0,114236
17527.0,25963
17527.0,78913
17527.0,79775
17527.0,114272
17527.0,114019
17527.0,114505
17527.0,85796
17527.0,78709
17585.0,26015
17585.0,26301
17585.0,27084
17585.0,34191
17585.0,34214
17585.0,78973
17585.0,79226
17585.0,79496
17585.0,79497
17585.0,80146
17585.0,80154
17585.0,80158
17585.0,80172
17585.0,80555
17585.0,80558
17585.0,80562
17585.0,86077
17585.0,86336
17585.0,86339
17585.0,86998
17585.0,113585
17585.0,26617
17585.0,113834
17585.0,114799
17585.0,113591
17585.0,85820
17585.0,86637
17585.0,113580
17585.0,80563
17594.0,25991
17594.0,26293
17594.0,78522
17594.0,78724
17594.0,78957
17594.0,79195
17594.0,79812
17594.0,80135
17594.0,80138
17594.0,80506
17594.0,85374
17594.0,85594
17594.0,85803
17594.0,86325
17594.0,86333
17594.0,86620
17594.0,86621
17594.0,86959
17594.0,113568
17594.0,86053
17594.0,114059
17594.0,26308
17594.0,114538
17611.0,17611
17611.0,26015
17611.0,26301
17611.0,78973
17611.0,79226
17611.0,79496
17611.0,79497
17611.0,80146
17611.0,80154
17611.0,80158
17611.0,80172
17611.0,80558
17611.0,80562
17611.0,86077
17611.0,86336
17611.0,86339
17611.0,86998
17611.0,113585
17611.0,26617
17611.0,113834
17611.0,113591
17611.0,85820
17611.0,86637
17611.0,113580
17611.0,80563
17615.0,25991
17615.0,26293
17615.0,27038
17615.0,34156
17615.0,34606
17615.0,78522
17615.0,78957
17615.0,79195
17615.0,79812
17615.0,80135
17615.0,80138
17615.0,80506
17615.0,80537
17615.0,85374
17615.0,85594
17615.0,85803
17615.0,86325
17615.0,86333
17615.0,86620
17615.0,86621
17615.0,86959
17615.0,86961
17615.0,113568
17615.0,86053
17615.0,114059
17615.0,26308
17615.0,114538
17615.0,114784
17701.0,26032
17701.0,26037
17701.0,33527
17701.0,33844
17701.0,78755
17701.0,79852
17701.0,79857
17701.0,86089
17701.0,86090
17701.0,86369
17701.0,86375
17701.0,113608
17701.0,114106
17701.0,86084
17701.0,114325
17701.0,26034
17701.0,113323
17701.0,114328
17701.0,87029
17703.0,17703
17703.0,26357
17703.0,26691
17703.0,27176
17703.0,33551
17703.0,34269
17703.0,34710
17703.0,79014
17703.0,80600
17703.0,80605
17703.0,85192
17703.0,85412
17703.0,85640
17703.0,85846
17703.0,87037
17703.0,87371
17703.0,113619
17703.0,114340
17703.0,80204
17703.0,113147
17703.0,85413
17703.0,27189
17703.0,81056
17703.0,113148
17703.0,35230
17703.0,27151
17738.0,26066
17738.0,26380
17738.0,26705
17738.0,33307
17738.0,33575
17738.0,33892
17738.0,78568
17738.0,79012
17738.0,79253
17738.0,79260
17738.0,80622
17738.0,86114
17738.0,87050
17738.0,113873
17738.0,80218
17738.0,114350
17738.0,33897
17738.0,114360
17797.0,26104
17797.0,26405
17797.0,26411
17797.0,26412
17797.0,26764
17797.0,27257
17797.0,33598
17797.0,33932
17797.0,33947
17797.0,34336
17797.0,79056
17797.0,79597
17797.0,80648
17797.0,80650
17797.0,85227
17797.0,85690
17797.0,87077
17797.0,87081
17797.0,87083
17797.0,113190
17797.0,113375
17797.0,113898
17797.0,87082
17797.0,86161
17797.0,113882
17797.0,86437
17797.0,78598
17797.0,79932
17797.0,33610
17805.0,17805
17805.0,26104
17805.0,26405
17805.0,26411
17805.0,26412
17805.0,26764
17805.0,27257
17805.0,33338
17805.0,33598
17805.0,33932
17805.0,33947
17805.0,34336
17805.0,79056
17805.0,79597
17805.0,80648
17805.0,80650
17805.0,85217
17805.0,85227
17805.0,85888
17805.0,87077
17805.0,87081
17805.0,87083
17805.0,87411
17805.0,87412
17805.0,113375
17805.0,113880
17805.0,87082
17805.0,113882
17805.0,86437
17805.0,79932
17805.0,33929
17826.0,26106
17826.0,26429
17826.0,27286
17826.0,33967
17826.0,33968
17826.0,34375
17826.0,78613
17826.0,78812
17826.0,79314
17826.0,79331
17826.0,79943
17826.0,79958
17826.0,80301
17826.0,80680
17826.0,80688
17826.0,85703
17826.0,86451
17826.0,86456
17826.0,113671
17826.0,113904
17826.0,113907
17826.0,85702
17826.0,113396
17826.0,113900
17826.0,114395
17866.0,25863
17866.0,26125
17866.0,26449
17866.0,33644
17866.0,33645
17866.0,78613
17866.0,78618
17866.0,78812
17866.0,78819
17866.0,79331
17866.0,80301
17866.0,80714
17866.0,85703
17866.0,86769
17866.0,86779
17866.0,113692
17866.0,113907
17866.0,85702
17866.0,113204
17866.0,113408
17866.0,113413
17866.0,113209
17879.0,25863
17879.0,25873
17879.0,26125
17879.0,26449
17879.0,26819
17879.0,33644
17879.0,33645
17879.0,78431
17879.0,78618
17879.0,78624
17879.0,78819
17879.0,80714
17879.0,86769
17879.0,86779
17879.0,87116
17879.0,113692
17879.0,114636
17879.0,114643
17879.0,113204
17879.0,113408
17879.0,113413
17879.0,113209
17895.0,17895
17895.0,25873
17895.0,26828
17895.0,26839
17895.0,27335
17895.0,27341
17895.0,33658
17895.0,33672
17895.0,33982
17895.0,33988
17895.0,34418
17895.0,78624
17895.0,78832
17895.0,79349
17895.0,79987
17895.0,80341
17895.0,80722
17895.0,85489
17895.0,86199
17895.0,86202
17895.0,86479
17895.0,86798
17895.0,87121
17895.0,114411
17895.0,114636
17895.0,87144
17895.0,114643
17895.0,87485
17895.0,114650
17895.0,114417
17913.0,25873
17913.0,78431
17913.0,78624
17913.0,78832
17913.0,79349
17913.0,79987
17913.0,85489
17913.0,86199
17913.0,114411
17913.0,114417
17913.0,113224
17981.0,25929
17981.0,26181
17981.0,26510
17981.0,26920
17981.0,33425
17981.0,33432
17981.0,80052
17981.0,80818
17981.0,80828
17981.0,86537
17981.0,114710
17981.0,85536
17981.0,86249
17981.0,79411
17981.0,85751
17981.0,113489
17981.0,114466
17983.0,25929
17983.0,26181
17983.0,26198
17983.0,26510
17983.0,26920
17983.0,33425
17983.0,33432
17983.0,80052
17983.0,80058
17983.0,80818
17983.0,80828
17983.0,85310
17983.0,86256
17983.0,86537
17983.0,114710
17983.0,85536
17983.0,79411
17983.0,79718
17983.0,114236
17983.0,113489
17983.0,114466
18000.0,25929
18000.0,26181
18000.0,26510
18000.0,33425
18000.0,80052
18000.0,86537
18000.0,114710
18000.0,85536
18000.0,86249
